Game is WIN
KTS  ID   FD   KD   LT
12   2    0    11   11   
13   6    0    11   11   
16   14   5    6    11   
17   18   0    11   11   
22   4    0    21   21   
26   12   6    15   21   
36   5    25   10   35   
56   21   15   33   48   
57   3    0    56   56   
57   7    0    55   55   
59   15   0    54   54   
80   22   50   22   72   
92   17   54   32   86   
93   13   76   12   88   
101  25   50   43   93   
114  9    90   20   110  
114  1    101  12   113  
116  10   89   23   112  
135  8    112  20   132  
136  11   111  21   132  
139  16   112  22   134  
150  19   129  14   143  
155  23   132  15   147  
166  20   129  29   158  
180  24   143  29   172  
41.0472
Total Enemies = 25
Average First-Shot Delay = 57.16
Average Kill Delay = 23.88
